都道府県ID,カテゴリID,スポット名
22,2,コワーキングスペース C-BASE
22,2,COTERRACE(コテラス)七間町
22,2,BIZcomfort静岡
22,2,Connected Studio i/HUB
22,2,naedoco atami collaboration workplace
22,2,ジブンオフィス Colony（コワーキングスペース）
22,2,コワーキングスペース え～ら BASE
22,2,COWORKING SPACE ACTIVAO
22,2,ワーカーズリビング三島クロケット
22,2,コワーキングスペース イトリエ
22,2,コワーキングスペース ENZOU
22,2,Dexi 有玉 コワーキングスペース&シェアオフィス
22,2,BIZcomfort浜松
22,2,浜松駅南 シェアオフィス コワーキングスペース CurioOffice
22,2,コワーキングスペース生-syou-
22,2,TSUKURIBA｜コワーキングスペース
22,2,コワーキングスペース work izu
22,2,コワーキングスペース米之宮 シャンミーユ
22,2,Homebase YAIZU（ホームベースやいづ）| コワーキングスペース
22,2,コワーキングスペースKAKEGAWA
22,2,Vacation Office 伊豆高原駅
22,2,エクレアホール
22,2,ふれあいとーふや。
22,2,Co-working Space [ Test Flight ]
22,2,羽衣【伊豆下田】
22,2,焼津PORTERS
22,2,コミュニティスペースきよりや
22,2,ユー・デザイン コワーキングスペース
22,2,ジブンカフェ Colony

23,1,イントロベース三河安城店
23,1,Study Garden｜春日井市の自習室
23,1,自習室プラス 愛知一宮
23,1,個室自習室 アスリート自習室 名駅前プレミアム
23,1,アスリート自習室新端橋駅前店
23,1,集中ルーム 大津通店
23,1,犬山の自習室
23,1,スマート自習室 太閤口店
23,1,スマート自習室 千種駅前店
23,1,おとな自習室＜自習室かなやま＞金山駅１分
23,1,自習室プラス星ヶ丘
23,1,おとな自習室 ＜自習室ふしみ＞
23,1,アスリート自習室 本山駅店 リーズナブル個室ブース
23,1,おとな自習室＜自習室さかえ＞
23,1,アスリート自習室 金山駅前店
23,1,集中ルーム 久屋大通店
23,1,スマート自習室 名古屋駅太閤口2
23,1,アスリート自習室 千種駅店 個室 リーズナブル自習室
23,1,有料自習室Best Focus
23,1,自習室キャレル
23,1,リーズナブル自習室 アスリート自習室 名駅セブンスター店
23,1,MOKU...パーソナル空間「みんなの自習室」
23,2,Voltage名古屋
23,2,プロコワ（コワーキングスペース）
23,2,BasisPoint 名古屋店
23,2,SHARE WORK LOUNGE稲沢
23,2,ベースキャンプ名古屋
23,2,sharebase.InC
23,2,ジユウノハコ
23,2,コワーキングスペース トライアルビレッジ Trial Village
23,2,ココリッツ
23,2,Co-learning & Co-working space poool Nagoya
23,2,BASE OZONE/ベース大曽根
23,2,レガーレカフェ栄
23,2,コワーキングスペース TOCOTOCO
23,2,SHARE BLUE一宮
23,2,MYCAFE 錦通り店
23,2,KURASI MARKET（くらしマーケット）
23,2,Camping Office osoto Hisayaodori
23,2,コワーキングスペース CoYaaah! コヤー
23,2,IMOM SPACE
23,2,ABCスペース
23,2,BIZcomfort名古屋伏見
23,2,ビズコンフォート 名古屋名駅南
23,2,BIZcomfort名古屋太閤通口
23,2,森と川に咲く花
23,2,なごのキャンパス
23,2,IKOMAI DESK | 刈谷市コワーキング・シェアスペース
23,2,ナゴヤイノベーターズガレージ
23,2,studio『R』岡崎店
23,2,SHARE LOUNGE 名鉄名古屋
23,2,コワーキングスペースGWork豊橋
23,2,BAUM HAUS WORK
23,2,THE DESK 大府
23,2,CODE BASE NAGOYA by Voltage新栄町
23,2,南知多シーサイド・コワーキング
23,2,コワーキングスペース‐スターロボックス
23,2,コワーキングスペース いいオフィス豊橋 by KAERU

33,1,岡山StudyWork×有料自習室  
33,1,倉敷StudyWork×有料自習室  
33,2,岡山 TOGITOGI  
33,2,コワーキングスペース シェアオフィス ストーリー  
33,2,コワーキングスペース うのベース  
33,2,コワーキングスペース Wonderwall  
33,2,ヨリビト(コワーキングスペース)  
33,2,あくら堂 シェアオフィス&コワーキングスペース  
33,2,コワーキングスペースUffice  
33,2,シェア＆バーチャル岡山  
33,2,Coworking Space ASTRO at 倉敷天文台  
33,2,リトルプレイスきたながせ  
33,2,表町コワーキングスペース  
33,2,勝央こころざしシェアスペース～共有の場～  
33,2,Hue HAYASHIMA  
33,2,住吉町の家 分福  
33,2,Co-Creation倉敷児島  
33,2,ひととば津山コワーキングスペースシェアオフィス  
33,2,吉備高原Nスクエア  

12,1,大人のためのプライベート自習室 スタディ スタイル 市川店  
12,1,大人のためのプライベート自習室 スタディ スタイル 西船橋店  
12,1,自習室 ビジネス&スタディルーム 新松戸  
12,1,ガシン 船橋自習室  
12,1,合格自習室イーミックス 津田沼店  
12,1,ガシン柏自習室  
12,1,イントロベース新松戸店｜自習室  
12,1,千葉駅有料自習室yaneura365千葉県庁店  
12,1,南行徳駅自習室  
12,1,自習館 鎌取店  
12,2,千葉コワーキングスペース201  
12,2,コワーキングスペース古民家 和かな  
12,2,i-Office(アイオフィス) 津田沼店
12,2,松戸shareBASE（コワーキング／テレワーク）  
12,2,ベストエフォートオフィス船橋  
12,2,BIZcomfort千葉駅前  
12,2,gate.（ゲート）妙典のコミュニティスペース  
12,2,KEISEI×BIZcomfort 千葉中央  
12,2,コワーキングスペース GREEN  
12,2,TENT幕張 コワーキングスペース＆シェアキッチン  
12,2,BIZcomfort千葉西口  
12,2,BIZcomfort八千代緑が丘  
12,2,佐倉市スマートオフィスプレイス「CO－LABO SAKURA」  
12,2,アクセアカフェ千葉駅前店  
12,2,Kashiwa grand～シェアオフィス＆コワーキングスペース～  
12,2,いいオフィス津田沼 by MACHI DESK（コワーキングスペース）  
12,2,コワーキングスペース pollo pollo （コワーキングスペース ポロポロ）  
12,2,リブポート松戸(シェアオフィス・コワーキングスペース)  
12,2,BIZcomfort松戸駅前
12,2,BIZcomfort本八幡  
12,2,BIZcomfort市川妙典  
12,2,coin space コインスペース ショッピングプラザ鎌ヶ谷店  
12,2,GAULAB（ガウラボ） - 袖ヶ浦のコワーキングスペース -  
12,2,KEISEI×BIZcomfort 稲毛  
12,2,coin space コインスペース ペリエ西千葉店  
12,2,THE HUB SOLO 柏  
12,2,(株)Ponnuf コワーキングスペース まるも  
12,2,coin space コインスペース イオンタウンユーカリが丘店  
12,2,BIZcomfort津田沼  
12,2,松戸shareBASE（3Dプリンタスタジオ）  
12,2,MIRAIYA Bookmark Lounge 市川妙典店  
12,2,coin space コインスペース モリシア津田沼店  
12,2,CoWorks24木更津駅前店  

28,1,THE自習室 苦楽園  
28,1,有料自習室自習Station三宮  
28,1,おとな自習室 自習室さんのみや  
28,1,THE自習室 岡本店  
28,1,有料自習室 勉強倶楽部  
28,1,神戸三宮 フォレスト  
28,1,ルミエ自習室神戸店  
28,1,スタディルームNICO明石自習室  
28,1,THE自習室 夙川  
28,1,THE自習室 芦屋  
28,1,おとな自習室＜自習室かわにしのせぐち＞川西能勢口2分  
28,1,神戸の自習室「自習空間」御影店  
28,1,自習室プラス塚口  
28,1,神戸サンセンタープラザ自習室  
28,1,レンタルデスク『姫路駅前自習室』  
28,1,自習室すもと＜おとな自習室＞洲本イオンすぐ  
28,1,自習室プラス西宮  
28,1,姫路大手前自習室（有料自習室）  
28,1,おとな自習室＜自習室さかせがわ＞逆瀬川1分  
28,1,会員制自習室Rise神戸  
28,2,いいオフィス神戸駅前 by Suki_ma  
28,2,コワーキングスペースF　兵庫  
28,2,コワーキングスペース SOLOTASU  
28,2,WAY OUT 兵庫  
28,2,にしのみやCoworking コワクラ  
28,2,Gadol Cafe&Study 神戸三宮店  
28,2,コワーキングスペースSHARES  
28,2,コワーキングスペースmocco姫路  
28,2,フレクシー伊丹  
28,2,iso乃家　兵庫  
28,2,コワークス365うねの駅前店  
28,2,work and place芦屋  
28,2,work and place神戸北野  
28,2,コワーキングスペース plug078 新神戸店  
28,2,120 WORKPLACE KOBE  
28,2,Gadol Cafe&Study 西宮店  
28,2,Hola！朝来市コワーキングスペース  
28,2,コワーキングスペースplug078御影店  
28,2,E.R.NEXT 六甲道  
28,2,コワーキング＆カフェ ロバスト  
28,2,ADOCK 兵庫  
28,2,神戸三宮シェアオフィス＆コワーキングスペースcoloco  
28,2,BIZcomfort神戸元町  
28,2,FLAP TOYOOKA  
28,2,コバコWork&Camp  
28,2,BIZcomfort神戸旧居留地 
28,2,DEP.神戸  
28,2,Pivot 川西  
28,2,フォレストコワーキングNAGOMI 
28,2,COWORKING SPACE KAGURA  
28,2,Habitat芦屋  
28,2,コワーキングスペース いいオフィス神戸byKT-joy 
28,2,スペースアルファ三宮  
28,2,コワーキング和田山  
28,2,Tamba Creative HUB  
28,2,Work PLACE COCOLO HIMEJI  
28,2,いいオフィス明石 AreaDrive  
28,2,芦屋市商工会コワーキングスペース  
28,2,いいオフィス鳴尾 by manaPi × café  
28,2,coin space コインスペース三宮オーパ２店  
28,2,coin space コインスペース イオンモール神戸南店  
28,2,いいオフィス川西能勢口 by MITSUWA  
28,2,テリマカシ松帆  
28,2,コワーキングスペースplug078元町店  

26,1,自習室からすま
26,1,きみとまろの自習室
26,1,スタディルームレオ 桂店
26,1,スタディルームレオ西院店
26,1,上京自習室
26,2,oinai karasuma
26,2,SIGHTS KYOTO -サイツキョウト-
26,2,コワーキングスペース レジーナ
26,2,コモンルーム四条烏丸
26,2,コワーキング∞ラボ京創舎
26,2,Space Kante（スペースカンテ）京都
26,2,コワーキングスペースCo-nnect京都
26,2,コワーキングスペース小脇
26,2,コワーキングスペースBOX-VASE
26,2,サラ メルクリオ_Sala Mercurio ~coworking space in kyoto~
26,2,BIZcomfort三条木屋町
26,2,BIZcomfort京都四条烏丸
26,2,コワーキングスペースVoltage京都【ボルテージ】
26,2,いいオフィス花園駅前（京都） by THE LIMELIGHT
26,2,サンガスタジアム by KYOCERA CO-WORKING ZONE by KSiF & Collabo Earth
26,2,長岡京コワーキングスペース
26,2,アクセアカフェ四条烏丸店
26,2,Second Desk北大路堀川

40,1,インザフューチャー自習室天神・赤坂店
40,1,とびきり自習室 福岡
40,2,MILL SPACE 福岡  
40,2,Co-working&Co-learning Space Q  福岡
40,2,マークシェア天神赤坂  
40,2,コワーキングスペース秘密基地  福岡
40,2,CO-WORKING SALON 四季のいろ  福岡
40,2,Co-work&Share.H  福岡
40,2,SHARE LOUNGE 福岡西新  
40,2,Flutter's BASE  福岡
40,2,ATOMica北九州（アトミカ）  
40,2,HOOD天神  
40,2,MP SPACE 警固  福岡コワーキングスペース
40,2,G's BASE FUKUOKA  
40,2,DIAGONAL RUN FUKUOKA  
40,2,The Company キャナルシティ博多前店  
40,2,The Company DAIMYO(大名)  
40,2,The Company 福岡PARCO店  
40,2,The Company 中洲川端店  
40,2,The Company ミーナ天神店  
40,2,coin space コインスペース 博多マルイ店  
40,2,MIRAIYA Bookmark Lounge 福津店  
40,2,アクセアカフェ天神店  

34,1,自習室U-CAL 広島
34,1,会員制自習室 まち図書カフェ 八丁堀room
34,1,会員制自習室 まち図書カフェ 五日市駅前room
34,1,会員制自習室 まち図書カフェ 東広島room
34,1,会員制自習室 まち図書カフェ 福山駅room
34,1,会員制自習室 まち図書カフェ 横川駅前room
34,1,自習室.com 広島県東広島市
34,2,コワーキングスペース ShakeHands 福屋広島駅前店
34,2,コワーキングスペース ShakeHands 広島県広島市
34,2,コワーキングスペース アクセル 広島県広島市
34,2,コワーキングスペースハラッパ 広島県福山市
34,2,いいオフィス天神川 by UpStairs
34,2,コワーキングスペースtovio 広島県福山市
34,2,Hiromalab 広島
34,2,hajimari-no-mado 広島市中区大手町
34,2,コワーキングスペースLaPlace 広島
34,2,コワーキングスペース梶ヶ浜 広島
34,2,コワーキングスペースarica（アリカ） 広島県三原市
34,2,SUMIYOSHI BASE（スミヨシベース） 広島県広島市
34,2,コワーキングスペース向洋 SHIRAKUCHO STATION
34,2,アクセアカフェ広島紙屋町店
34,2,いいオフィス安芸高田 by LIG

27,1,梅田の自習室 セルフスタディ ２号店  
27,1,梅田の自習室 セルフスタディ 本店  
27,1,中津の自習室 セルフスタディ  梅田中津店
27,1,天満橋の自習室 セルフスタディ 天満橋店  
27,1,江坂の自習室 セルフスタディ 吹田・江坂店  
27,1,「自習室大阪」京橋店  
27,1,「自習室大阪」梅田本店  
27,1,「自習室大阪」天王寺１号店  
27,1,「自習室大阪」天王寺２号店  
27,1,「自習室大阪」上本町１号店  
27,1,「自習室大阪」上本町２号店  
27,1,自習室プラス堺筋本町  
27,1,自習室プラス 本町  
27,1,自習室プラス阿倍野昭和町  
27,1,自習室プラス吹田関大前  
27,1,自習室プラス阪急石橋  
27,1,自習室プラス関目駅前  
27,1,自習室プラス長居駅前  
27,1,自習室プラス箕面  
27,1,自習室プラス都島駅前  
27,1,自習室プラス守口  
27,1,自習室プラス茨木  
27,1,自習室プラス 河内長野  
27,1,自習室プラス三国ヶ丘駅前  
27,1,自習室プラス堺駅前  
27,1,自習室プラス北野田駅前  
27,1,自習室プラス豊中岡町  
27,1,自習室プラス 弁天町  
27,1,自習室プラス天六  
27,1,自習室プラス高槻  
27,1,自習室プラス上新庄  
27,1,おとな自習室＜自習室うめだ 中津駅前店＞  
27,1,おとな自習室＜自習室うめだ 大阪駅前第３ビル店＞  
27,1,おとな自習室＜自習室うめだ 大阪駅前第２ビル店＞  
27,2,いいオフィス新大阪 byそばに  
27,2,3DROPS 大阪  
27,2,トライスペース東大阪  
27,2,Work PLACE COCOLO OSAKA  
27,2,U Work Shiratama 大阪  
27,2,Work PLACE COCOLO SHIN-OSAKA  
27,2,コワーキングスペースGO TO HER　大阪
27,2,コワーキングスペース ONOFFスペース　大阪
27,2,コワーキングスペースGRANDSLAM　大阪
27,2,コワーキングスペースLiveCoals　大阪
27,2,コワーキングスペース 徳庵ハウス　大阪
27,2,コワーキングスペースOne-Labo　大阪  
27,2,コワーキングスペースROUGH LABO TECH天満・扇町  
27,2,コワーキングスペース・自習室Cota　大阪
27,2,coin space コインスペース 大阪ベイタワー店  
27,2,アクセアカフェ梅田店  
27,2,アクセアカフェ本町店  
27,2,アクセアカフェ心斎橋店  
27,2,アクセアカフェ新大阪駅前店  
27,2,BIZcomfort大阪江戸堀  
27,2,BIZcomfort大阪本町-west-  
27,2,BIZcomfort四天王寺  
27,2,BIZcomfort堺東  
27,2,BIZcomfort大阪北堀江  
27,2,BIZcomfortなんば御堂筋  
27,2,BIZcomfort谷町四丁目  
27,2,BIZcomfort大阪東梅田  
27,2,BIZcomfort松屋町  
27,2,BIZcomfort天王寺あべの  
27,2,BIZcomfort大阪ベイタワー  

14,1,横浜自習室 アイル study&work studio  
14,1,横浜自習室アーウィン  
14,1,自習室プラスルーム鶴見店  
14,1,自習室yucca  神奈川
14,1,自習室 Desk Booth AOG 相模原  
14,1,自習室Eukareさがみはら  
14,1,おとな自習室＜自習室さがみおおの＞相模大野駅１分  
14,1,LeaF川崎自習室  
14,1,溝ノ口自習室(自習室倶楽部)  
14,1,横浜自習室（自習室倶楽部)  
14,1,藤沢自習室(自習室倶楽部)  
14,1,保土ケ谷自習室（自習室倶楽部)  
14,1,青葉台自習室（自習室倶楽部）  
14,1,新百合ヶ丘自習室(自習室倶楽部)  
14,1,橋本自習室(自習室倶楽部)  
14,1,川崎自習室倶楽部  
14,1,センター南自習室(自習室倶楽部)  
14,1,湘南台自習室(自習室倶楽部)  
14,1,鶴見自習室(自習室倶楽部)  
14,1,菊名自習室（自習室倶楽部)  
14,1,会員制自習室+workspace 菊名店  
14,1,会員制自習室+workspace 日吉店  
14,1,会員制自習室+workspace 綱島東口店  
14,1,自習室ミニッツ（Study Space Minute)  
14,1,自習室ミニッツ 2号店 仕事＆勉強ミニッツ  
14,2,コワーキングスペース the KAIDAN fujisawa  
14,2,コワーキングスペース Post-CoWork（ポストコワーク） 神奈川  
14,2,コワーキングスペース 新城WORK 神奈川  
14,2,Brooklyn Works　横浜市鶴見区  
14,2,SHARE LOUNGE TSUTAYA BOOKSTORE 川崎駅前店  
14,2,コワーキングスペースkLab 神奈川  
14,2,シェア型複合施設one（コワーキング）神奈川   
14,2,いいオフィス北山田 神奈川 
14,2,COPLACE Chigasaki ANNEX  
14,2,COPLACE Chigasaki 駅前店  
14,2,SHARE LOUNGE 海老名店  
14,2,BIZcomfort登戸  
14,2,BIZcomfortセンター南  
14,2,BIZcomfort海老名  
14,2,BIZcomfort湘南茅ヶ崎  
14,2,BIZcomfort関内駅前  
14,2,BIZcomfort片瀬江ノ島  
14,2,BIZcomfort湘南平塚  
14,2,BIZcomfortセンター北  
14,2,BIZcomfort川崎東口  
14,2,BIZcomfort溝の口  
14,2,BIZcomfort新横浜  
14,2,BIZcomfort湘南藤沢  
14,2,BIZcomfort橋本  
14,2,BIZcomfort小田原  
14,2,BIZcomfort横浜西口  
14,2,BIZcomfort横浜元町  
14,2,coin space コインスペース 港北 TOKYU S.C.  
14,2,coin space コインスペース 海老名ビナウォーク店  
14,2,coin space コインスペース 本厚木店  

13,1,巣鴨自習室 LumiDesk ルミデスク  
13,1,渋谷会員制自習室 - STUDY LOUNGE  
13,1,日本橋 茅場町 自習室One  
13,1,有料自習室 Study Booth四ツ谷  
13,1,アットデスク新宿 有料自習室  
13,1,自習室・書斎Cuore 吉祥寺店  
13,1,レンタル自習室「サクセス・ロード茅場町」  
13,1,自習室 マイデスク立川  
13,1,自習室・書斎Cuore 調布Hanare店  
13,1,自習室てなーす　東京都調布市  
13,1,有料自習室KOTO 錦糸町  
13,1,くるめ自習室西東京  
13,1,自習室 TORINO-SU ひばりヶ丘  
13,1,自習室Pass八王子  
13,1,アレイ自習室 王子駅  
13,1,アレイ自習室 明大前駅  
13,1,アレイ自習室 西新宿五丁目駅  
13,1,アレイ自習室 笹塚店  
13,1,アレイ自習室 新宿御苑前駅  
13,1,アレイ自習室 東陽町駅  
13,1,アレイ自習室 亀有駅  
13,1,アレイ自習室 綾瀬駅  
13,1,アレイ自習室 池尻大橋駅  
13,1,アレイ自習室 練馬駅  
13,1,アレイ自習室 東中野駅  
13,1,アレイ自習室 下北沢駅  
13,1,アレイ自習室 西荻窪駅  
13,1,アレイ自習室 新小岩駅  
13,1,アレイ自習室 江古田駅  
13,1,アレイ自習室 三鷹駅  
13,1,アレイ自習室 荻窪駅  
13,1,アレイ自習室 経堂駅  
13,1,自習室すいどうばし＜おとな自習室＞  
13,1,自習室たかだのばば＜おとな自習室＞  
13,1,自習室しんじゅく＜おとな自習室＞  
13,1,おとな自習室＜自習室にしにっぽり＞  
13,1,LeaF上野自習室  
13,1,LeaF池袋自習室
13,1,蒲田駅前自習室(自習室倶楽部)  
13,1,多摩センター自習室(自習室倶楽部)  
13,1,アイデスク神保町自習室  
13,1,アイデスク新宿自習室  
13,1,アイデスク中野自習室  
13,2,コワーキングスペース茅場町 Co-Edo  
13,2,コワーキングスペース永福  
13,2,下高井戸コワーキングスペース iNVENTO  
13,2,LULL TECH BEACH 渋谷 コワーキングスペース  
13,2,コワーキングスペース八王子 8Beat  
13,2,inBase祐天寺【コワーキングスペース】  
13,2,コワーキングスペースFOREST 池袋  
13,2,コワーキングスペース TatamiWorks（タタミワークス）  
13,2,Good Work Co-working グッドワークコワーキング 渋谷  
13,2,SaCuLa 明大前 コワーキングスペース 自習室 24時間  
13,2,SaCuLa 芦花公園 コワーキングスペース 自習室 24時間  
13,2,幡ヶ谷コワーキングスペース｜カクレガ  
13,2,BIZcomfort大森山王  
13,2,BIZcomfort中板橋  
13,2,BIZcomfort東池袋  
13,2,BIZcomfort神楽坂天神  
13,2,BIZcomfort池袋  
13,2,BIZcomfort田町  
13,2,BIZcomfort蒲田  
13,2,BIZcomfort中野南  
13,2,BIZcomfort早稲田
13,2,アクセアカフェ西新宿店  
13,2,いいオフィス渋谷東口 by iiO  
13,2,いいオフィス五反田駅前（コワーキングスペース/リモートワーク/会議室）  
13,2,いいオフィス南麻布（コワーキングスペース/会議室あり/白金高輪駅）  
13,2,コワーキングスペース いいオフィス浜松町 by wedo  
13,2,いいオフィス恵比寿（コワーキングスペース/リモートワーク/会議室）  
13,2,コワーキングスペース fabbit八王子  
13,2,コワーキングスペース fabbit青山  
13,2,コワーキングスペース fabbit京橋  
13,2,コワーキングスペース fabbit銀座  
13,2,BasisPoint 西新宿店  
13,2,BasisPoint 神保町店  
13,2,BasisPoint 新橋銀座口店  
13,2,BasisPoint 五反田店  
13,2,聖蹟桜ヶ丘LILIC
